	highly_variable	chrom	manual_annotation_peaks	leiden_v1_r1
1-6798868-6799804	True	1	unassigned	2
1-6855207-6855666	True	1	tail_bud_late	11
1-6861567-6861954	True	1	unassigned	5
1-6872771-6873410	True	1	tail_bud_late	1
1-6896124-6896725	True	1	unassigned	4
1-6933952-6934851	True	1	midbrain_hindbrain_boundary	3
1-6952141-6952766	True	1	unassigned	3
1-6976539-6977202	True	1	tail_bud_late	1
1-6977878-6978077	True	1	unassigned	5
1-6982537-6982831	True	1	unassigned	26
1-6988730-6989313	True	1	tail_bud_late	11
1-6999813-7000039	True	1	unassigned	4
1-7003375-7003955	True	1	unassigned	5
1-7006052-7006893	True	1	unassigned	23
1-7031812-7032546	True	1	unassigned	5
1-7045794-7046354	True	1	tail_bud_late	11
1-7064797-7065557	True	1	unassigned	22
1-7086028-7086327	True	1	unassigned	4
1-7086373-7086615	True	1	unassigned	13
1-7111659-7112538	True	1	muscle	12
1-7136251-7136478	True	1	unassigned	5
1-7179332-7179916	True	1	muscle	9
1-7184836-7185348	True	1	unassigned	15
1-7195391-7195827	True	1	unassigned	22
1-7196879-7197205	True	1	unassigned	2
1-7206831-7207047	True	1	unassigned	24
1-7218071-7218450	True	1	unassigned	6
1-7223606-7224220	True	1	unassigned	4
1-7242212-7242611	True	1	unassigned	5
1-7243921-7244565	True	1	unassigned	9
1-7250268-7250612	True	1	unassigned	13
1-7287838-7288653	True	1	unassigned	3
1-7291722-7292012	True	1	unassigned	5
1-7297314-7297555	True	1	unassigned	5
1-7307951-7308165	True	1	unassigned	7
1-7316621-7317495	True	1	tail_bud_late	1
1-7326824-7327402	True	1	unassigned	5
1-7394287-7394695	True	1	unassigned	30
1-7399026-7399591	True	1	unassigned	22
1-7413360-7413614	True	1	unassigned	26
1-7422609-7423030	True	1	optic_cup_early	0
1-7443138-7443366	True	1	unassigned	21
1-7467120-7467362	True	1	unassigned	21
1-7468000-7468607	True	1	unassigned	25
1-7471577-7471815	True	1	unassigned	21
1-7472970-7473428	True	1	tail_bud_late	11
1-7528963-7529415	True	1	unassigned	2
1-7542010-7542778	True	1	muscle	9
1-7562494-7563460	True	1	optic_cup_early	0
1-7582567-7582892	True	1	optic_cup_early	0
1-7616515-7617186	True	1	PSM	12
1-7725210-7726170	True	1	optic_cup_early	0
1-7774369-7774776	True	1	tail_bud_late	1
1-7776632-7777128	True	1	muscle	9
1-7804818-7805629	True	1	unassigned	22
1-7822613-7823694	True	1	tail_bud_late	1
1-7867361-7867690	True	1	unassigned	15
1-7886954-7887156	True	1	unassigned	10
1-7887992-7888191	True	1	unassigned	13
1-7964846-7965190	True	1	unassigned	10
1-7965345-7965926	True	1	unassigned	13
1-8004045-8004398	True	1	unassigned	19
1-8013259-8013602	True	1	unassigned	2
1-8014921-8015283	True	1	unassigned	21
1-8021233-8021647	True	1	unassigned	8
1-8059747-8059953	True	1	unassigned	21
1-8071818-8072631	True	1	unassigned	10
1-8078965-8079537	True	1	hatching_gland	6
1-8086095-8086659	True	1	unassigned	10
1-8105932-8106212	True	1	tail_bud_late	1
1-8126438-8126795	True	1	optic_cup_early	0
1-8167333-8167813	True	1	unassigned	7
1-8171086-8171500	True	1	unassigned	15
1-8174379-8174803	True	1	unassigned	16
1-8199329-8199707	True	1	unassigned	17
1-8215082-8215793	True	1	tail_bud_late	1
1-8225759-8225958	True	1	tail_bud_late	11
1-8243494-8244093	True	1	unassigned	7
1-8244313-8244637	True	1	unassigned	26
1-8259864-8260485	True	1	unassigned	5
1-8282261-8282532	True	1	unassigned	18
1-8290916-8291542	True	1	enteric_neurons	23
1-8298580-8298974	True	1	unassigned	29
1-8304611-8305106	True	1	unassigned	17
1-8306476-8307165	True	1	unassigned	5
1-8319522-8320151	True	1	unassigned	33
1-8334479-8334723	True	1	unassigned	14
1-8348594-8348950	True	1	unassigned	4
1-8353519-8353794	True	1	unassigned	24
1-8411062-8411261	True	1	unassigned	5
1-8449009-8449352	True	1	unassigned	13
1-8470772-8471227	True	1	unassigned	4
1-8485146-8485692	True	1	muscle	12
1-8494294-8494904	True	1	unassigned	9
1-8523758-8524499	True	1	unassigned	8
1-8577143-8577833	True	1	unassigned	2
1-8592231-8593073	True	1	unassigned	19
1-8600046-8600799	True	1	tail_bud_late	1
1-8626185-8626453	True	1	unassigned	19
1-8627084-8627339	True	1	unassigned	5
1-8691276-8692526	True	1	optic_cup_early	0
1-8760552-8760953	True	1	unassigned	17
1-8777198-8777908	True	1	unassigned	7
1-8790962-8791594	True	1	unassigned	18
1-8817706-8818239	True	1	unassigned	7
1-8831904-8832709	True	1	optic_cup_early	0
1-8870714-8871033	True	1	optic_cup_early	0
1-8902067-8902572	True	1	unassigned	5
1-8959541-8959854	True	1	unassigned	15
1-8968762-8969021	True	1	unassigned	24
1-8992181-8992485	True	1	optic_cup_early	0
1-9038349-9039306	True	1	optic_cup_early	0
1-9109437-9109814	True	1	unassigned	5
1-9110864-9111630	True	1	hematopoietic_vasculature	8
1-9205607-9205968	True	1	unassigned	15
1-9229917-9230252	True	1	lateral_plate	6
1-9230970-9232116	True	1	tail_bud_late	1
1-9332872-9333159	True	1	unassigned	9
1-9336839-9338016	True	1	fast_muscle	9
1-9343403-9343820	True	1	unassigned	9
1-9359370-9360122	True	1	optic_cup_early	0
1-9362531-9362831	True	1	unassigned	9
1-9389906-9390213	True	1	unassigned	9
1-9430239-9430623	True	1	unassigned	7
1-9438332-9438968	True	1	hatching_gland	6
1-9475344-9475829	True	1	unassigned	15
1-9494662-9495035	True	1	unassigned	7
1-9506333-9507095	True	1	unassigned	7
1-9508035-9508819	True	1	tail_bud_late	11
1-9546647-9546965	True	1	unassigned	4
1-9556868-9558623	True	1	diff_neurons	23
1-9642394-9642831	True	1	unassigned	2
1-9655375-9655574	True	1	unassigned	24
1-9668478-9668760	True	1	unassigned	14
1-9685500-9686076	True	1	optic_cup_early	0
1-9694770-9695182	True	1	unassigned	14
1-9730254-9730575	True	1	unassigned	4
1-9740029-9740311	True	1	unassigned	14
1-9743249-9743575	True	1	unassigned	13
1-9747687-9748100	True	1	unassigned	10
1-9792238-9792618	True	1	unassigned	13
1-9808190-9808466	True	1	unassigned	2
1-9850948-9851566	True	1	unassigned	5
1-9870529-9871181	True	1	tail_bud_late	1
1-9904668-9905106	True	1	optic_cup_early	0
1-9925375-9925609	True	1	unassigned	17
1-9936752-9936970	True	1	unassigned	24
1-9955802-9956001	True	1	unassigned	26
1-10008501-10009230	True	1	midbrain_hindbrain_boundary	3
1-10097805-10098823	True	1	NMPs	12
1-10140398-10140790	True	1	optic_cup_early	0
1-10148790-10149232	True	1	neural	27
1-10151301-10151845	True	1	unassigned	33
1-10152676-10152964	True	1	unassigned	21
1-10203633-10204024	True	1	unassigned	5
1-10204074-10204367	True	1	unassigned	5
1-10226413-10226612	True	1	unassigned	4
1-10239407-10239703	True	1	unassigned	13
1-10277719-10278348	True	1	diff_neurons	23
1-10373768-10374295	True	1	unassigned	2
1-10390311-10391216	True	1	hemangioblasts	8
1-10394138-10395002	True	1	unassigned	7
1-10422559-10423023	True	1	optic_cup_early	23
1-10478498-10478862	True	1	unassigned	4
1-10515518-10516008	True	1	unassigned	19
1-10534646-10535412	True	1	optic_cup_early	0
1-10541025-10541265	True	1	unassigned	18
1-10572275-10572831	True	1	unassigned	2
1-10589377-10589842	True	1	unassigned	2
1-10591907-10592363	True	1	unassigned	4
1-10604458-10604657	True	1	unassigned	21
1-10642450-10642841	True	1	unassigned	13
1-10675424-10675955	True	1	unassigned	2
1-10767057-10767676	True	1	unassigned	17
1-10799327-10799552	True	1	unassigned	18
1-10812411-10813055	True	1	unassigned	13
1-10855907-10856504	True	1	unassigned	17
1-10866552-10866766	True	1	unassigned	7
1-10915132-10915341	True	1	unassigned	14
1-10925007-10925298	True	1	unassigned	2
1-10955336-10955675	True	1	unassigned	5
1-10984791-10985114	True	1	unassigned	5
1-11058270-11058510	True	1	optic_cup_early	0
1-11075174-11075865	True	1	muscle	9
1-11133225-11134006	True	1	tail_bud_late	1
1-11141729-11142047	True	1	unassigned	19
1-11163354-11163724	True	1	unassigned	4
1-11184357-11184901	True	1	optic_cup_early	0
1-11192185-11192705	True	1	unassigned	15
1-11274585-11274784	True	1	unassigned	5
1-11278563-11278762	True	1	unassigned	10
1-11352594-11353035	True	1	unassigned	17
1-11372852-11373196	True	1	unassigned	5
1-11427885-11428808	True	1	muscle	9
1-11448605-11449264	True	1	fast_muscle	9
1-11460851-11461231	True	1	unassigned	29
1-11486734-11487235	True	1	optic_cup_early	23
1-11495576-11496881	True	1	midbrain_hindbrain_boundary	3
1-11522018-11522435	True	1	unassigned	15
1-11527212-11527621	True	1	unassigned	5
1-11582148-11582586	True	1	unassigned	28
1-11593501-11594559	True	1	unassigned	9
1-11601548-11602722	True	1	unassigned	7
1-11608601-11609499	True	1	optic_cup_early	0
1-11618072-11618374	True	1	unassigned	4
1-11626997-11627198	True	1	tail_bud_late	11
1-11664918-11665684	True	1	tail_bud_late	1
1-11905804-11906530	True	1	tail_bud_late	1
1-11915936-11916376	True	1	unassigned	10
1-11979493-11979698	True	1	tail_bud_late	1
1-11988119-11988629	True	1	hematopoietic_vasculature	8
1-11989220-11989629	True	1	unassigned	16
1-12019097-12019936	True	1	lateral_plate	6
1-12041650-12042021	True	1	unassigned	7
1-12093420-12094529	True	1	fast_muscle	9
1-12099865-12100101	True	1	unassigned	10
1-12104348-12105383	True	1	optic_cup_early	0
1-12124184-12124824	True	1	unassigned	9
1-12141380-12141815	True	1	hatching_gland	6
1-12144311-12145188	True	1	unassigned	9
1-12151250-12151627	True	1	unassigned	2
1-12168310-12168527	True	1	unassigned	6
1-12171573-12172347	True	1	endoderm	6
1-12175589-12175788	True	1	tail_bud_late	1
1-12180116-12180343	True	1	unassigned	2
1-12234174-12235104	True	1	heart_myocardium	20
1-12241934-12242227	True	1	unassigned	2
1-12244238-12245614	True	1	optic_cup_early	0
1-12262532-12263014	True	1	tail_bud_late	11
1-12266362-12266781	True	1	optic_cup_early	0
1-12378826-12379655	True	1	tail_bud_late	1
1-12387689-12388243	True	1	unassigned	18
1-12388902-12389173	True	1	unassigned	4
1-12408315-12408604	True	1	unassigned	7
1-12414454-12416136	True	1	hemangioblasts	8
1-12419865-12420375	True	1	tail_bud_late	11
1-12420468-12420778	True	1	tail_bud_late	11
1-12428363-12429339	True	1	unassigned	2
1-12433378-12433731	True	1	unassigned	14
1-12434731-12435329	True	1	muscle	9
1-12437408-12437897	True	1	unassigned	29
1-12440109-12440668	True	1	unassigned	10
1-12486337-12487121	True	1	unassigned	2
1-12488111-12488384	True	1	tail_bud_late	11
1-12498670-12499257	True	1	unassigned	18
1-12500854-12501281	True	1	unassigned	12
1-12560069-12560346	True	1	unassigned	18
1-12592613-12593092	True	1	unassigned	14
1-12593622-12594546	True	1	unassigned	10
1-12614134-12614759	True	1	enteric_neurons	23
1-12620647-12621218	True	1	unassigned	13
1-12628889-12629310	True	1	tail_bud_late	11
1-12670828-12672072	True	1	tail_bud_late	1
1-12679943-12680152	True	1	unassigned	25
1-12685706-12685905	True	1	unassigned	17
1-12712027-12712295	True	1	unassigned	14
1-12719529-12719989	True	1	unassigned	10
1-12742150-12742977	True	1	tail_bud_late	1
1-12752553-12753204	True	1	unassigned	2
1-12762823-12766357	True	1	unassigned	3
1-12788300-12788506	True	1	optic_cup_early	0
1-12807000-12807834	True	1	heart_myocardium	20
1-12808065-12808314	True	1	heart_myocardium	20
1-12810491-12810930	True	1	unassigned	2
1-12826960-12827465	True	1	heart_myocardium	20
1-12838352-12839460	True	1	tail_bud_late	1
1-12843544-12844038	True	1	unassigned	28
1-12889404-12889656	True	1	unassigned	17
1-12910567-12911280	True	1	optic_cup_early	0
1-12937465-12937685	True	1	unassigned	15
1-12958002-12958608	True	1	unassigned	22
1-12961950-12963623	True	1	unassigned	22
1-12979316-12980224	True	1	optic_cup_early	22
1-13003844-13004105	True	1	unassigned	19
1-13004510-13005147	True	1	optic_cup_early	0
1-13011842-13012088	True	1	unassigned	13
1-13055543-13056008	True	1	unassigned	16
1-13092216-13093037	True	1	muscle	12
1-13094426-13095023	True	1	hatching_gland	6
1-13097471-13097961	True	1	unassigned	5
1-13122745-13123256	True	1	unassigned	5
1-13140296-13141747	True	1	tail_bud_late	1
1-13154649-13154848	True	1	unassigned	2
1-13165750-13166718	True	1	unassigned	22
1-13169310-13170515	True	1	unassigned	22
1-13175507-13176844	True	1	unassigned	22
1-13217311-13217542	True	1	unassigned	5
1-13223798-13224053	True	1	unassigned	21
1-13227452-13227697	True	1	unassigned	4
1-13272675-13274773	True	1	floor_plate	3
1-13295957-13296689	True	1	floor_plate	3
1-13302708-13304080	True	1	PSM	3
1-13388314-13388613	True	1	unassigned	13
1-13429676-13429875	True	1	unassigned	21
1-13453527-13453782	True	1	unassigned	24
1-13466646-13466865	True	1	unassigned	7
1-13489672-13490075	True	1	unassigned	5
1-13500072-13500497	True	1	unassigned	14
1-13517942-13518141	True	1	unassigned	14
1-13527083-13527658	True	1	unassigned	31
1-13529369-13529662	True	1	unassigned	2
1-13531946-13532145	True	1	unassigned	14
1-13538033-13538685	True	1	unassigned	13
1-13539108-13539586	True	1	unassigned	21
1-13553425-13553788	True	1	unassigned	10
1-13568019-13568413	True	1	unassigned	18
1-13576396-13576902	True	1	unassigned	15
1-13616381-13616699	True	1	unassigned	15
1-13623256-13623455	True	1	unassigned	21
1-13677936-13678246	True	1	unassigned	10
1-13702033-13703345	True	1	hatching_gland	6
1-13708204-13708403	True	1	tail_bud_late	11
1-13751711-13752116	True	1	unassigned	19
1-13759267-13760127	True	1	tail_bud_late	11
1-13760841-13761150	True	1	unassigned	17
1-13900536-13900870	True	1	unassigned	17
1-13909196-13909719	True	1	unassigned	13
1-13924755-13925070	True	1	unassigned	30
1-13947788-13948221	True	1	tail_bud_late	1
1-14012801-14013073	True	1	unassigned	4
1-14041969-14042195	True	1	unassigned	25
1-14051472-14052070	True	1	unassigned	2
1-14070330-14070584	True	1	unassigned	9
1-14078109-14078623	True	1	muscle	9
1-14083532-14083731	True	1	unassigned	26
1-14094776-14094975	True	1	unassigned	14
1-14097527-14098130	True	1	tail_bud_late	1
1-14126872-14127694	True	1	optic_cup_early	0
1-14131723-14131928	True	1	unassigned	13
1-14166535-14166882	True	1	unassigned	10
1-14190722-14191809	True	1	tail_bud_late	1
1-14229668-14230518	True	1	tail_bud_late	1
1-14239783-14240074	True	1	unassigned	26
1-14260543-14261860	True	1	optic_cup_early	0
1-14292895-14293116	True	1	unassigned	21
1-14300624-14301190	True	1	muscle	9
1-14312457-14313125	True	1	unassigned	15
1-14330139-14330602	True	1	unassigned	26
1-14420655-14421063	True	1	unassigned	15
1-14600486-14600741	True	1	unassigned	14
1-14628933-14629142	True	1	unassigned	7
1-14652474-14652881	True	1	unassigned	14
1-14750898-14751380	True	1	unassigned	14
1-14766378-14766577	True	1	unassigned	27
1-14789104-14789358	True	1	unassigned	18
1-14792638-14793070	True	1	unassigned	4
1-14818616-14819566	True	1	enteric_neurons	23
1-14828516-14829763	True	1	unassigned	10
1-14856340-14856539	True	1	tail_bud_late	11
1-14856844-14857180	True	1	unassigned	13
1-14863415-14864095	True	1	unassigned	30
1-14866525-14867661	True	1	optic_cup_early	0
1-14883686-14884465	True	1	unassigned	4
1-14890042-14890575	True	1	unassigned	30
1-14903063-14904031	True	1	tail_bud_late	1
1-14913667-14914341	True	1	tail_bud_late	23
1-14916777-14917236	True	1	unassigned	13
1-14921403-14921602	True	1	unassigned	17
