loc	cluster
chr1:4083268-4084283	1
chr1:4218042-4218583	14
chr1:4219368-4219567	16
chr1:4228358-4229273	4
chr1:4243662-4244566	1
chr1:4258793-4260163	10
chr1:4264344-4264848	31
chr1:4291179-4292173	3
chr1:4344802-4345387	0
chr1:4348436-4349447	12
chr1:4360411-4360810	20
chr1:4379756-4380409	10
chr1:4388559-4389043	1
chr1:4447668-4447879	38
chr1:4474866-4475892	8
chr1:4477128-4478217	0
chr1:4482076-4483216	1
chr1:4516700-4517331	28
chr1:4537127-4537790	26
chr1:4572387-4572943	0
chr1:4582688-4583135	0
chr1:4594555-4595091	18
chr1:4613090-4613314	7
chr1:4641231-4641624	7
chr1:4658912-4659604	33
chr1:4667007-4667741	21
chr1:4669417-4670123	21
chr1:4682590-4683339	1
chr1:4694192-4694829	2
chr1:4705707-4706101	4
chr1:4717252-4717709	5
chr1:4717888-4718457	0
chr1:4748337-4748818	38
chr1:4765967-4766640	32
chr1:4772040-4772370	16
chr1:4801332-4801676	5
chr1:4822894-4823470	0
chr1:4859747-4860228	1
chr1:4884503-4884731	35
chr1:4885654-4886010	25
chr1:4895773-4896826	1
chr1:4902314-4903657	22
chr1:4908389-4908825	5
chr1:4914805-4915659	19
chr1:4916405-4917354	12
chr1:4935550-4936197	0
chr1:4948743-4949341	20
chr1:4976748-4977335	5
chr1:5023030-5023521	22
chr1:5064730-5065298	20
chr1:5087350-5088305	0
chr1:5100314-5101266	0
chr1:5118844-5119568	8
chr1:5155483-5156051	10
chr1:5163715-5164577	14
chr1:5175829-5176028	1
chr1:5200322-5200881	8
chr1:5203725-5204311	3
chr1:5211737-5212465	1
chr1:5238410-5238960	8
chr1:5268057-5269190	3
chr1:5320613-5321844	3
chr1:5462074-5462787	15
chr1:5465437-5466133	8
chr1:5528586-5529671	8
chr1:5532703-5532974	0
chr1:5537334-5538259	8
chr1:5562263-5563093	8
chr1:5578372-5578739	22
chr1:5586182-5586527	18
chr1:5588250-5588760	1
chr1:5593928-5594715	0
chr1:5605594-5607081	8
chr1:5633881-5634569	11
chr1:5652563-5653289	14
chr1:5659483-5660374	3
chr1:5795662-5796081	17
chr1:5830411-5831108	0
chr1:5835001-5835715	1
chr1:5846602-5847253	1
chr1:5850924-5851534	21
chr1:5868226-5869271	1
chr1:5869368-5869567	1
chr1:5872305-5873061	1
chr1:5932134-5932541	0
chr1:5956156-5956515	0
chr1:6027377-6028107	0
chr1:6065398-6065934	1
chr1:6109015-6109545	1
chr1:6121514-6121893	1
chr1:6132172-6132677	1
chr1:6227028-6227409	1
chr1:6268683-6269532	14
chr1:6294934-6295356	7
chr1:6299824-6300023	16
chr1:6315686-6316027	21
chr1:6318383-6319034	19
chr1:6324552-6324759	21
chr1:6344735-6345012	4
chr1:6373754-6374549	0
chr1:6381087-6381316	27
chr1:6407807-6408805	36
chr1:6453138-6454190	36
chr1:6505700-6506983	21
chr1:6539095-6539841	21
chr1:6586353-6586792	4
chr1:6685595-6686236	0
chr1:6701036-6701888	31
chr1:6717353-6717869	20
chr1:6723212-6723670	27
chr1:6745760-6746679	5
chr1:6752255-6752615	21
chr1:6771030-6771300	23
chr1:6785108-6786157	0
chr1:6789215-6789716	4
chr1:6798868-6799804	2
chr1:6855207-6855666	0
chr1:6861567-6861954	5
chr1:6872771-6873410	0
chr1:6896124-6896725	4
chr1:6933952-6934851	3
chr1:6952141-6952766	0
chr1:6976539-6977202	0
chr1:6977878-6978077	5
chr1:6982537-6982831	26
chr1:6988730-6989313	0
chr1:6999813-7000039	4
chr1:7003375-7003955	5
chr1:7006052-7006893	21
chr1:7031812-7032546	5
chr1:7045794-7046354	0
chr1:7064797-7065557	20
chr1:7086028-7086327	4
chr1:7086373-7086615	12
chr1:7111659-7112538	8
chr1:7136251-7136478	5
chr1:7179332-7179916	11
chr1:7184836-7185348	5
chr1:7195391-7195827	20
chr1:7196879-7197205	2
chr1:7206831-7207047	23
chr1:7218071-7218450	7
chr1:7223606-7224220	20
chr1:7242212-7242611	5
chr1:7243921-7244565	11
chr1:7250268-7250612	12
chr1:7287838-7288653	3
chr1:7291722-7292012	5
chr1:7297314-7297555	5
chr1:7307951-7308165	28
chr1:7316621-7317495	0
chr1:7326824-7327402	5
chr1:7394287-7394695	31
chr1:7399026-7399591	20
chr1:7413360-7413614	26
chr1:7422609-7423030	1
chr1:7443138-7443366	18
chr1:7467120-7467362	18
chr1:7468000-7468607	24
chr1:7471577-7471815	18
chr1:7472970-7473428	0
chr1:7528963-7529415	2
chr1:7542010-7542778	11
chr1:7562494-7563460	1
chr1:7582567-7582892	1
chr1:7616515-7617186	8
chr1:7725210-7726170	1
chr1:7774369-7774776	0
chr1:7776632-7777128	11
chr1:7804818-7805629	20
chr1:7822613-7823694	0
chr1:7867361-7867690	14
chr1:7886954-7887156	10
chr1:7887992-7888191	12
chr1:7964846-7965190	10
chr1:7965345-7965926	12
chr1:8004045-8004398	16
chr1:8013259-8013602	2
chr1:8014921-8015283	18
chr1:8021233-8021647	9
chr1:8059747-8059953	18
chr1:8071818-8072631	12
chr1:8078965-8079537	7
chr1:8086095-8086659	10
chr1:8105932-8106212	0
chr1:8126438-8126795	1
chr1:8167333-8167813	28
chr1:8171086-8171500	14
chr1:8174379-8174803	33
chr1:8199329-8199707	27
chr1:8215082-8215793	0
chr1:8225759-8225958	0
chr1:8243494-8244093	28
chr1:8244313-8244637	26
chr1:8259864-8260485	5
chr1:8282261-8282532	15
chr1:8290916-8291542	21
chr1:8298580-8298974	29
chr1:8304611-8305106	27
chr1:8306476-8307165	5
chr1:8319522-8320151	37
chr1:8334479-8334723	13
chr1:8348594-8348950	4
chr1:8353519-8353794	23
chr1:8411062-8411261	5
chr1:8449009-8449352	38
chr1:8470772-8471227	4
chr1:8485146-8485692	8
chr1:8494294-8494904	11
chr1:8523758-8524499	9
chr1:8577143-8577833	2
chr1:8592231-8593073	16
chr1:8600046-8600799	0
chr1:8626185-8626453	16
chr1:8627084-8627339	5
chr1:8691276-8692526	1
chr1:8760552-8760953	30
chr1:8777198-8777908	28
chr1:8790962-8791594	15
chr1:8817706-8818239	28
chr1:8831904-8832709	1
chr1:8870714-8871033	1
chr1:8902067-8902572	5
chr1:8959541-8959854	14
chr1:8968762-8969021	23
chr1:8992181-8992485	1
chr1:9038349-9039306	1
chr1:9109437-9109814	5
chr1:9110864-9111630	9
chr1:9205607-9205968	14
chr1:9229917-9230252	7
chr1:9230970-9232116	0
chr1:9332872-9333159	11
chr1:9336839-9338016	11
chr1:9343403-9343820	11
chr1:9359370-9360122	1
chr1:9362531-9362831	11
chr1:9389906-9390213	11
chr1:9430239-9430623	19
chr1:9438332-9438968	7
chr1:9475344-9475829	14
chr1:9494662-9495035	28
chr1:9506333-9507095	19
chr1:9508035-9508819	0
chr1:9546647-9546965	4
chr1:9556868-9558623	1
chr1:9642394-9642831	2
chr1:9655375-9655574	23
chr1:9668478-9668760	13
chr1:9685500-9686076	1
chr1:9694770-9695182	13
chr1:9730254-9730575	4
chr1:9740029-9740311	13
chr1:9743249-9743575	38
chr1:9747687-9748100	10
chr1:9792238-9792618	12
chr1:9808190-9808466	2
chr1:9850948-9851566	5
chr1:9870529-9871181	0
chr1:9904668-9905106	1
chr1:9925375-9925609	29
chr1:9936752-9936970	23
chr1:9955802-9956001	26
chr1:10008501-10009230	3
chr1:10097805-10098823	8
chr1:10140398-10140790	1
chr1:10148790-10149232	25
chr1:10151301-10151845	37
chr1:10152676-10152964	18
chr1:10203633-10204024	5
chr1:10204074-10204367	5
chr1:10226413-10226612	4
chr1:10239407-10239703	38
chr1:10277719-10278348	21
chr1:10373768-10374295	2
chr1:10390311-10391216	9
chr1:10394138-10395002	19
chr1:10422559-10423023	21
chr1:10478498-10478862	4
chr1:10515518-10516008	16
chr1:10534646-10535412	1
chr1:10541025-10541265	15
chr1:10572275-10572831	2
chr1:10589377-10589842	2
chr1:10591907-10592363	4
chr1:10604458-10604657	18
chr1:10642450-10642841	12
chr1:10675424-10675955	2
chr1:10767057-10767676	27
chr1:10799327-10799552	15
chr1:10812411-10813055	12
chr1:10855907-10856504	30
chr1:10866552-10866766	19
chr1:10915132-10915341	13
chr1:10925007-10925298	2
chr1:10955336-10955675	5
chr1:10984791-10985114	5
chr1:11058270-11058510	1
chr1:11075174-11075865	11
chr1:11133225-11134006	0
chr1:11141729-11142047	16
chr1:11163354-11163724	4
chr1:11184357-11184901	1
chr1:11192185-11192705	1
chr1:11274585-11274784	5
chr1:11278563-11278762	10
chr1:11352594-11353035	30
chr1:11372852-11373196	5
chr1:11427885-11428808	11
chr1:11448605-11449264	11
chr1:11460851-11461231	29
chr1:11486734-11487235	1
chr1:11495576-11496881	3
chr1:11522018-11522435	14
chr1:11527212-11527621	5
chr1:11582148-11582586	22
chr1:11593501-11594559	11
chr1:11601548-11602722	19
chr1:11608601-11609499	1
chr1:11618072-11618374	4
chr1:11626997-11627198	0
chr1:11664918-11665684	0
chr1:11905804-11906530	0
chr1:11915936-11916376	10
chr1:11979493-11979698	0
chr1:11988119-11988629	9
chr1:11989220-11989629	8
chr1:12019097-12019936	7
chr1:12041650-12042021	19
chr1:12093420-12094529	11
chr1:12099865-12100101	10
chr1:12104348-12105383	1
chr1:12124184-12124824	11
chr1:12141380-12141815	7
chr1:12144311-12145188	11
chr1:12151250-12151627	22
chr1:12168310-12168527	7
chr1:12171573-12172347	7
chr1:12175589-12175788	0
chr1:12180116-12180343	2
chr1:12234174-12235104	17
chr1:12241934-12242227	2
chr1:12244238-12245614	1
chr1:12262532-12263014	0
chr1:12266362-12266781	1
chr1:12378826-12379655	0
chr1:12387689-12388243	15
chr1:12388902-12389173	4
chr1:12408315-12408604	28
chr1:12414454-12416136	9
chr1:12419865-12420375	0
chr1:12420468-12420778	0
chr1:12428363-12429339	22
chr1:12433378-12433731	13
chr1:12434731-12435329	11
chr1:12437408-12437897	29
chr1:12440109-12440668	10
chr1:12486337-12487121	2
chr1:12488111-12488384	0
chr1:12498670-12499257	15
chr1:12500854-12501281	8
chr1:12560069-12560346	15
chr1:12592613-12593092	13
chr1:12593622-12594546	10
chr1:12614134-12614759	21
chr1:12620647-12621218	12
chr1:12628889-12629310	0
chr1:12670828-12672072	0
chr1:12679943-12680152	24
chr1:12685706-12685905	30
chr1:12712027-12712295	13
chr1:12719529-12719989	10
chr1:12742150-12742977	0
chr1:12752553-12753204	2
chr1:12762823-12766357	3
chr1:12788300-12788506	1
chr1:12807000-12807834	17
chr1:12808065-12808314	17
chr1:12810491-12810930	2
chr1:12826960-12827465	17
chr1:12838352-12839460	0
chr1:12843544-12844038	22
chr1:12889404-12889656	30
chr1:12910567-12911280	1
chr1:12937465-12937685	14
chr1:12958002-12958608	20
chr1:12961950-12963623	20
chr1:12979316-12980224	1
chr1:13003844-13004105	16
chr1:13004510-13005147	1
chr1:13011842-13012088	12
chr1:13055543-13056008	8
chr1:13092216-13093037	8
chr1:13094426-13095023	7
chr1:13097471-13097961	5
chr1:13122745-13123256	5
chr1:13140296-13141747	0
chr1:13154649-13154848	2
chr1:13165750-13166718	20
chr1:13169310-13170515	20
chr1:13175507-13176844	20
chr1:13217311-13217542	5
chr1:13223798-13224053	18
chr1:13227452-13227697	4
chr1:13272675-13274773	3
chr1:13295957-13296689	3
chr1:13302708-13304080	3
chr1:13388314-13388613	12
chr1:13429676-13429875	18
chr1:13453527-13453782	23
chr1:13466646-13466865	19
chr1:13489672-13490075	5
chr1:13500072-13500497	13
chr1:13517942-13518141	13
chr1:13527083-13527658	34
chr1:13529369-13529662	2
chr1:13531946-13532145	13
chr1:13538033-13538685	12
chr1:13539108-13539586	25
chr1:13553425-13553788	10
chr1:13568019-13568413	15
chr1:13576396-13576902	7
chr1:13616381-13616699	14
chr1:13623256-13623455	18
chr1:13677936-13678246	10
chr1:13702033-13703345	7
chr1:13708204-13708403	0
chr1:13751711-13752116	16
chr1:13759267-13760127	0
chr1:13760841-13761150	30
chr1:13900536-13900870	30
chr1:13909196-13909719	12
chr1:13924755-13925070	31
chr1:13947788-13948221	0
chr1:14012801-14013073	4
chr1:14041969-14042195	24
chr1:14051472-14052070	2
chr1:14070330-14070584	11
chr1:14078109-14078623	11
chr1:14083532-14083731	26
chr1:14094776-14094975	13
chr1:14097527-14098130	0
chr1:14126872-14127694	1
chr1:14131723-14131928	12
chr1:14166535-14166882	10
chr1:14190722-14191809	0
chr1:14229668-14230518	0
chr1:14239783-14240074	21
chr1:14260543-14261860	1
chr1:14292895-14293116	18
chr1:14300624-14301190	11
chr1:14312457-14313125	14
chr1:14330139-14330602	26
chr1:14420655-14421063	14
chr1:14600486-14600741	13
chr1:14628933-14629142	22
chr1:14652474-14652881	13
chr1:14750898-14751380	13
chr1:14766378-14766577	25
chr1:14789104-14789358	15
chr1:14792638-14793070	4
chr1:14818616-14819566	21
chr1:14828516-14829763	10
chr1:14856340-14856539	0
chr1:14856844-14857180	12
chr1:14863415-14864095	31
chr1:14866525-14867661	1
chr1:14883686-14884465	4
chr1:14890042-14890575	31
chr1:14903063-14904031	0
chr1:14913667-14914341	0
chr1:14916777-14917236	12
chr1:14921403-14921602	30
chr1:14925964-14926203	18
chr1:14930586-14930957	4
chr1:14934109-14934445	26
chr1:14951539-14951738	13
chr1:14955470-14956059	12
chr1:14958450-14958655	31
chr1:14970348-14970765	2
chr1:14988221-14988521	16
chr1:14997241-14997588	23
chr1:15001851-15002260	2
chr1:15020421-15021549	1
chr1:15034881-15035604	1
chr1:15046917-15047258	16
chr1:15061965-15062523	10
chr1:15079506-15080916	25
chr1:15110988-15111597	35
chr1:15141911-15142852	1
chr1:15145528-15145727	30
chr1:15150237-15150629	14
chr1:15152722-15152921	13
chr1:15175155-15175606	7
chr1:15181422-15181780	4
chr1:15185083-15185461	2
chr1:15235537-15236240	1
chr1:15242736-15242936	0
chr1:15243340-15243813	4
chr1:15343626-15344290	14
chr1:15379488-15379689	1
chr1:15385523-15386285	17
chr1:15412316-15413209	0
chr1:15426496-15426882	25
chr1:15488412-15489236	0
chr1:15502212-15502614	2
chr1:15510475-15510876	23
chr1:15513968-15514273	23
chr1:15589952-15590474	2
chr1:15604882-15605081	24
chr1:15632952-15634057	20
chr1:15656339-15657080	7
chr1:15663090-15664302	1
chr1:15672987-15673263	16
chr1:15678533-15678882	21
chr1:15691424-15691704	24
chr1:15693966-15694305	23
chr1:15698051-15698690	2
chr1:15706220-15706579	4
chr1:15708694-15709327	7
chr1:15734138-15734487	13
chr1:15768248-15768465	5
chr1:15828369-15828581	2
chr1:15830259-15830897	28
chr1:15843446-15843868	8
chr1:15865261-15865852	33
chr1:15896017-15896324	1
chr1:15901887-15902087	23
chr1:15909197-15909524	12
chr1:15914656-15915336	1
chr1:15916520-15917405	1
chr1:15931433-15932050	14
chr1:15961865-15963243	8
chr1:15966336-15966563	23
chr1:15997513-15997865	21
chr1:16004423-16004831	10
chr1:16047817-16048141	18
chr1:16055674-16056047	5
chr1:16059617-16060129	1
chr1:16088749-16088948	1
chr1:16094746-16095017	34
chr1:16131495-16132026	21
chr1:16143525-16143757	35
chr1:16149618-16149984	5
chr1:16154567-16154982	0
chr1:16179848-16180463	4
chr1:16231235-16231892	1
chr1:16242515-16242714	10
chr1:16256020-16257277	2
chr1:16279338-16279886	16
chr1:16281681-16281885	26
chr1:16281997-16282411	33
chr1:16352554-16353096	21
chr1:16434033-16434753	8
chr1:16437647-16439575	8
chr1:16444955-16445814	8
chr1:16517677-16518206	9
chr1:16526772-16527724	1
chr1:16582077-16583156	8
chr1:16585598-16585907	1
chr1:16635575-16635854	33
chr1:16637898-16638891	25
chr1:16653408-16653610	0
chr1:16658925-16659124	23
chr1:16748248-16749002	1
chr1:16764406-16764948	20
chr1:16788941-16789279	13
chr1:16798741-16799108	21
chr1:16812405-16812604	12
chr1:16818584-16818896	16
chr1:16842905-16843578	1
chr1:16847324-16848502	1
chr1:16884382-16884879	2
chr1:16900829-16901187	25
chr1:16904613-16904908	23
chr1:16905065-16905620	23
chr1:16915949-16916344	0
chr1:16917522-16917822	12
chr1:16917840-16918039	12
chr1:16963879-16964596	1
chr1:16967549-16967951	31
chr1:17047177-17047557	13
chr1:17094219-17095524	11
chr1:17108440-17109264	11
chr1:17142975-17143174	12
chr1:17181099-17181465	0
chr1:17204084-17204604	1
chr1:17204755-17205165	1
chr1:17209525-17210771	0
chr1:17211015-17211778	7
chr1:17246697-17247307	0
chr1:17271647-17271860	5
chr1:17483174-17483544	1
chr1:17497458-17498481	1
chr1:17533520-17533742	7
chr1:17563909-17564700	1
chr1:17640218-17640894	3
chr1:17649662-17650583	3
chr1:17719579-17720452	0
chr1:17736513-17736813	12
chr1:17756944-17757913	1
chr1:17770390-17770931	7
chr1:17810160-17810732	38
chr1:17831517-17832329	1
chr1:17833218-17833447	23
chr1:17853473-17854283	1
chr1:17865567-17866004	17
chr1:17874897-17875394	1
chr1:17885225-17885501	18
chr1:17896684-17897228	5
chr1:17900028-17900419	27
chr1:17962066-17962307	13
chr1:18005713-18006399	4
chr1:18008725-18009567	10
chr1:18016835-18017500	0
chr1:18021249-18021652	2
chr1:18066150-18066894	29
chr1:18083003-18083391	18
chr1:18086971-18087410	2
chr1:18107259-18107639	21
chr1:18125483-18125758	29
chr1:18140298-18140704	13
chr1:18155854-18156053	2
chr1:18163198-18163623	16
chr1:18188108-18188458	18
chr1:18193992-18194324	5
chr1:18195066-18195512	11
chr1:18197556-18197847	16
chr1:18199771-18200565	11
chr1:18217046-18217382	12
chr1:18223028-18223229	30
chr1:18224635-18224954	29
chr1:18227930-18228456	2
chr1:18249729-18249953	27
chr1:18251806-18252739	31
chr1:18272312-18272942	15
chr1:18293143-18293495	5
chr1:18295016-18295422	4
chr1:18314702-18315203	1
chr1:18320389-18320735	13
chr1:18321469-18321772	16
chr1:18344330-18344699	0
chr1:18360468-18360778	8
chr1:18362149-18362375	29
chr1:18377021-18377239	16
chr1:18392556-18392849	1
chr1:18411523-18411973	4
chr1:18416723-18416984	16
chr1:18417383-18417622	26
chr1:18424412-18425476	0
chr1:18432747-18433389	7
chr1:18449503-18449860	21
chr1:18464991-18465654	33
chr1:18575290-18575519	8
chr1:18621251-18621525	7
chr1:18642163-18642848	7
chr1:18667556-18669276	7
chr1:18688449-18688944	0
chr1:18694945-18695585	7
chr1:18726340-18726657	0
chr1:18904050-18904754	1
chr1:18960997-18961294	1
chr1:18982706-18983973	11
chr1:19055210-19055743	0
chr1:19067207-19068207	1
chr1:19134739-19135112	4
chr1:19136872-19137429	1
chr1:19147287-19147719	38
chr1:19156623-19157236	9
chr1:19163297-19163535	4
chr1:19225022-19225221	15
chr1:19225426-19226264	11
chr1:19228653-19229218	12
chr1:19233529-19234088	7
chr1:19264701-19264920	2
chr1:19326792-19327211	2
chr1:19344995-19345800	1
chr1:19390216-19391359	7
chr1:19416426-19416664	5
chr1:19418268-19419016	0
chr1:19497007-19497587	11
chr1:19570689-19571431	1
chr1:19641560-19642159	19
chr1:19704010-19704759	8
chr1:19718421-19719372	7
chr1:19725008-19725436	0
chr1:19745116-19745506	7
chr1:19747484-19748301	0
chr1:19761519-19762371	1
chr1:19795714-19796486	0
chr1:19837610-19837837	0
chr1:19857234-19857482	0
chr1:19859121-19860120	0
chr1:19862797-19863006	12
chr1:19881861-19882110	4
chr1:19888327-19888656	0
chr1:19968868-19969508	1
chr1:19984326-19984901	9
chr1:19996719-19997561	1
chr1:20023053-20023647	9
chr1:20026754-20027155	1
chr1:20027220-20027925	1
chr1:20035192-20035611	15
chr1:20087647-20088233	1
chr1:20116910-20117795	11
chr1:20198856-20199273	1
chr1:20263369-20264250	0
chr1:20269120-20269525	3
chr1:20278198-20279672	3
chr1:20336419-20336904	10
chr1:20337794-20338028	13
chr1:20348877-20349472	9
chr1:20375299-20375645	13
chr1:20396937-20398064	20
chr1:20408892-20409466	2
chr1:20428168-20428477	29
chr1:20454720-20455463	2
chr1:20482499-20483561	11
chr1:20499620-20500463	1
chr1:20519913-20520556	10
chr1:20559442-20560169	0
chr1:20593371-20594187	7
chr1:20605213-20605554	4
chr1:20656364-20656752	4
chr1:20682601-20682844	21
chr1:20712932-20713392	9
chr1:20726832-20727118	4
chr1:20799905-20800735	8
chr1:20821407-20822040	8
chr1:20831116-20831331	1
chr1:20839528-20840417	9
chr1:20883171-20884093	1
chr1:20899776-20900383	21
chr1:20907844-20908043	7
chr1:20939003-20939284	0
chr1:20955805-20956461	22
chr1:21051385-21051598	16
chr1:21237989-21238415	10
chr1:21259124-21259518	23
chr1:21274637-21274943	1
chr1:21292177-21292376	22
chr1:21334270-21334722	8
chr1:21350049-21350323	29
chr1:21390665-21391397	23
chr1:21422970-21423832	34
chr1:21435759-21435982	19
chr1:21455314-21455730	14
chr1:21462281-21462530	24
chr1:21482890-21484151	1
chr1:21548584-21549041	4
chr1:21606581-21606868	1
chr1:21624455-21625058	7
chr1:21656356-21657125	3
chr1:21689266-21689660	1
chr1:21690916-21691575	9
chr1:21697659-21698823	3
chr1:21762016-21763471	3
chr1:21769227-21769922	3
chr1:21772547-21773189	3
chr1:21789201-21789523	12
chr1:21792420-21792900	0
chr1:21800229-21800811	20
chr1:21801669-21802690	1
chr1:21858045-21858244	10
chr1:21858263-21858462	10
chr1:21890335-21891238	0
chr1:22034736-22035371	5
chr1:22042614-22043117	0
chr1:22054278-22054862	4
chr1:22056185-22056624	8
chr1:22062388-22062627	12
chr1:22066547-22066963	21
chr1:22073871-22074127	25
chr1:22111278-22111588	23
chr1:22125525-22126138	25
chr1:22175158-22175362	26
chr1:22178720-22179233	1
chr1:22192126-22192369	4
chr1:22196321-22196832	22
chr1:22220671-22221342	25
chr1:22232164-22232425	10
chr1:22248726-22249215	2
chr1:22270478-22271325	8
chr1:22286131-22286438	4
chr1:22287953-22288403	27
chr1:22305587-22305910	11
chr1:22316096-22316553	4
chr1:22393645-22394160	19
chr1:22400307-22400916	15
chr1:22401169-22402704	11
chr1:22412495-22413007	1
chr1:22426373-22426673	30
chr1:22442683-22442970	2
chr1:22453023-22453244	22
chr1:22457875-22458244	0
chr1:22490135-22490800	0
chr1:22514342-22514589	28
chr1:22529909-22530281	29
chr1:22535587-22535786	10
chr1:22558049-22558554	16
chr1:22572835-22573176	24
chr1:22588154-22588378	16
chr1:22626630-22627142	15
chr1:22628786-22628991	29
chr1:22632280-22632712	10
chr1:22632996-22633266	26
chr1:22634657-22635113	2
chr1:22639814-22640589	1
chr1:22642027-22642226	1
chr1:22647989-22648496	0
chr1:22701656-22702600	1
chr1:22752030-22752901	20
chr1:22763484-22764256	1
chr1:22869405-22869739	27
chr1:22887076-22887615	1
chr1:22915467-22916456	20
chr1:22928820-22929266	9
chr1:22930781-22931461	9
chr1:22987847-22988567	1
chr1:23036195-23036652	8
chr1:23070180-23071314	8
chr1:23109277-23110892	3
chr1:23129790-23131806	3
chr1:23197566-23197765	34
chr1:23203065-23203387	14
chr1:23212278-23212609	22
chr1:23214017-23214617	19
chr1:23257639-23258084	1
chr1:23290194-23290395	0
chr1:23306846-23307050	0
chr1:23378780-23379025	1
chr1:23459628-23460101	32
chr1:23529660-23530436	0
chr1:23543668-23543904	15
chr1:23551768-23551974	19
chr1:23613446-23613808	0
chr1:23625750-23626021	2
chr1:23648290-23648535	16
chr1:23666223-23666702	8
chr1:23689299-23690488	8
