	sub_clusters_manual
1-3918158-3918432	unassigned
1-3944363-3944880	unassigned
1-3967267-3967466	unassigned
1-3972640-3973274	unassigned
1-3976906-3977440	unassigned
1-3998214-3998701	unassigned
1-4000625-4001464	unassigned
1-4004662-4004883	unassigned
1-4005020-4005637	unassigned
1-4007056-4007616	unassigned
1-4011195-4011913	unassigned
1-4018777-4019111	unassigned
1-4034354-4034657	unassigned
1-4040082-4040631	unassigned
1-4070807-4071133	unassigned
1-4081453-4082004	sub_clust_2
1-4083268-4084283	unassigned
1-4218042-4218583	unassigned
1-4219368-4219567	unassigned
1-4228358-4229273	unassigned
1-4243662-4244566	sub_clust_2
1-4258793-4260163	unassigned
1-4264344-4264848	unassigned
1-4291179-4292173	unassigned
1-4344802-4345387	unassigned
1-4348436-4349447	unassigned
1-4360411-4360810	unassigned
1-4379756-4380409	unassigned
1-4388559-4389043	sub_clust_0
1-4447668-4447879	unassigned
1-4474866-4475892	unassigned
1-4477128-4478217	unassigned
1-4482076-4483216	sub_clust_0
1-4516700-4517331	unassigned
1-4537127-4537790	unassigned
1-4572387-4572943	unassigned
1-4582688-4583135	unassigned
1-4594555-4595091	unassigned
1-4613090-4613314	unassigned
1-4641231-4641624	unassigned
1-4658912-4659604	unassigned
1-4667007-4667741	unassigned
1-4669417-4670123	unassigned
1-4682590-4683339	sub_clust_1
1-4694192-4694829	unassigned
1-4705707-4706101	unassigned
1-4717252-4717709	unassigned
1-4717888-4718457	unassigned
1-4748337-4748818	unassigned
1-4765967-4766640	unassigned
1-4772040-4772370	unassigned
1-4801332-4801676	unassigned
1-4822894-4823470	unassigned
1-4859747-4860228	sub_clust_0
1-4884503-4884731	unassigned
1-4885654-4886010	unassigned
1-4895773-4896826	sub_clust_2
1-4902314-4903657	unassigned
1-4908389-4908825	unassigned
1-4914805-4915659	unassigned
1-4916405-4917354	unassigned
1-4935550-4936197	unassigned
1-4948743-4949341	sub_clust_1
1-4976748-4977335	unassigned
1-5023030-5023521	unassigned
1-5064730-5065298	unassigned
1-5087350-5088305	unassigned
1-5100314-5101266	unassigned
1-5118844-5119568	unassigned
1-5155483-5156051	unassigned
1-5163715-5164577	unassigned
1-5175829-5176028	sub_clust_1
1-5200322-5200881	unassigned
1-5203725-5204311	unassigned
1-5211737-5212465	sub_clust_1
1-5238410-5238960	unassigned
1-5268057-5269190	unassigned
1-5320613-5321844	unassigned
1-5462074-5462787	unassigned
1-5465437-5466133	unassigned
1-5528586-5529671	unassigned
1-5532703-5532974	unassigned
1-5537334-5538259	unassigned
1-5562263-5563093	unassigned
1-5578372-5578739	unassigned
1-5586182-5586527	unassigned
1-5588250-5588760	sub_clust_3
1-5593928-5594715	unassigned
1-5605594-5607081	unassigned
1-5633881-5634569	unassigned
1-5652563-5653289	unassigned
1-5659483-5660374	unassigned
1-5795662-5796081	unassigned
1-5830411-5831108	unassigned
1-5835001-5835715	sub_clust_1
1-5846602-5847253	sub_clust_2
1-5850924-5851534	sub_clust_0
1-5868226-5869271	sub_clust_1
1-5869368-5869567	sub_clust_3
1-5872305-5873061	sub_clust_1
1-5932134-5932541	unassigned
1-5956156-5956515	unassigned
1-6027377-6028107	unassigned
1-6065398-6065934	sub_clust_2
1-6109015-6109545	sub_clust_2
1-6121514-6121893	unassigned
1-6132172-6132677	sub_clust_2
1-6227028-6227409	sub_clust_0
1-6268683-6269532	unassigned
1-6294934-6295356	unassigned
1-6299824-6300023	unassigned
1-6315686-6316027	unassigned
1-6318383-6319034	unassigned
1-6324552-6324759	unassigned
1-6344735-6345012	unassigned
1-6373754-6374549	unassigned
1-6381087-6381316	unassigned
1-6407807-6408805	sub_clust_1
1-6453138-6454190	sub_clust_2
1-6505700-6506983	unassigned
1-6539095-6539841	unassigned
1-6586353-6586792	unassigned
1-6685595-6686236	unassigned
1-6701036-6701888	unassigned
1-6717353-6717869	unassigned
1-6723212-6723670	unassigned
1-6745760-6746679	unassigned
1-6752255-6752615	unassigned
1-6771030-6771300	unassigned
1-6785108-6786157	unassigned
1-6789215-6789716	unassigned
1-6798868-6799804	unassigned
1-6855207-6855666	unassigned
1-6861567-6861954	unassigned
1-6872771-6873410	unassigned
1-6896124-6896725	unassigned
1-6933952-6934851	unassigned
1-6952141-6952766	unassigned
1-6976539-6977202	unassigned
1-6977878-6978077	unassigned
1-6982537-6982831	unassigned
1-6988730-6989313	unassigned
1-6999813-7000039	unassigned
1-7003375-7003955	unassigned
1-7006052-7006893	unassigned
1-7031812-7032546	unassigned
1-7045794-7046354	unassigned
1-7064797-7065557	unassigned
1-7086028-7086327	unassigned
1-7086373-7086615	unassigned
1-7111659-7112538	unassigned
1-7136251-7136478	unassigned
1-7179332-7179916	unassigned
1-7184836-7185348	unassigned
1-7195391-7195827	unassigned
1-7196879-7197205	unassigned
1-7206831-7207047	unassigned
1-7218071-7218450	unassigned
1-7223606-7224220	unassigned
1-7242212-7242611	unassigned
1-7243921-7244565	unassigned
1-7250268-7250612	unassigned
1-7287838-7288653	unassigned
1-7291722-7292012	unassigned
1-7297314-7297555	unassigned
1-7307951-7308165	unassigned
1-7316621-7317495	unassigned
1-7326824-7327402	unassigned
1-7394287-7394695	unassigned
1-7399026-7399591	unassigned
1-7413360-7413614	unassigned
1-7422609-7423030	sub_clust_0
1-7443138-7443366	unassigned
1-7467120-7467362	unassigned
1-7468000-7468607	unassigned
1-7471577-7471815	unassigned
1-7472970-7473428	unassigned
1-7528963-7529415	unassigned
1-7542010-7542778	unassigned
1-7562494-7563460	sub_clust_3
1-7582567-7582892	sub_cluster_4
1-7616515-7617186	unassigned
1-7725210-7726170	sub_clust_3
1-7774369-7774776	unassigned
1-7776632-7777128	unassigned
1-7804818-7805629	unassigned
1-7822613-7823694	unassigned
1-7867361-7867690	unassigned
1-7886954-7887156	unassigned
1-7887992-7888191	unassigned
1-7964846-7965190	unassigned
1-7965345-7965926	unassigned
1-8004045-8004398	unassigned
1-8013259-8013602	unassigned
1-8014921-8015283	unassigned
1-8021233-8021647	unassigned
1-8059747-8059953	unassigned
1-8071818-8072631	unassigned
1-8078965-8079537	unassigned
1-8086095-8086659	unassigned
1-8105932-8106212	unassigned
1-8126438-8126795	sub_clust_0
1-8167333-8167813	unassigned
1-8171086-8171500	sub_clust_0
1-8174379-8174803	unassigned
1-8199329-8199707	unassigned
1-8215082-8215793	unassigned
1-8225759-8225958	unassigned
1-8243494-8244093	unassigned
1-8244313-8244637	unassigned
1-8259864-8260485	unassigned
1-8282261-8282532	unassigned
1-8290916-8291542	unassigned
1-8298580-8298974	unassigned
1-8304611-8305106	unassigned
1-8306476-8307165	unassigned
1-8319522-8320151	unassigned
1-8334479-8334723	unassigned
1-8348594-8348950	unassigned
1-8353519-8353794	unassigned
1-8411062-8411261	unassigned
1-8449009-8449352	unassigned
1-8470772-8471227	unassigned
1-8485146-8485692	unassigned
1-8494294-8494904	unassigned
1-8523758-8524499	unassigned
1-8577143-8577833	unassigned
1-8592231-8593073	unassigned
1-8600046-8600799	unassigned
1-8626185-8626453	unassigned
1-8627084-8627339	unassigned
1-8691276-8692526	sub_clust_1
1-8760552-8760953	unassigned
1-8777198-8777908	unassigned
1-8790962-8791594	unassigned
1-8817706-8818239	unassigned
1-8831904-8832709	sub_clust_1
1-8870714-8871033	sub_clust_0
1-8902067-8902572	unassigned
1-8959541-8959854	unassigned
1-8968762-8969021	unassigned
1-8992181-8992485	sub_clust_3
1-9038349-9039306	sub_clust_5
1-9109437-9109814	unassigned
1-9110864-9111630	unassigned
1-9205607-9205968	unassigned
1-9229917-9230252	unassigned
1-9230970-9232116	unassigned
1-9332872-9333159	unassigned
1-9336839-9338016	unassigned
1-9343403-9343820	unassigned
1-9359370-9360122	sub_clust_2
1-9362531-9362831	unassigned
1-9389906-9390213	unassigned
1-9430239-9430623	unassigned
1-9438332-9438968	unassigned
1-9475344-9475829	unassigned
1-9494662-9495035	unassigned
1-9506333-9507095	unassigned
1-9508035-9508819	unassigned
1-9546647-9546965	unassigned
1-9556868-9558623	unassigned
1-9642394-9642831	unassigned
1-9655375-9655574	unassigned
1-9668478-9668760	unassigned
1-9685500-9686076	sub_clust_0
1-9694770-9695182	unassigned
1-9730254-9730575	unassigned
1-9740029-9740311	unassigned
1-9743249-9743575	unassigned
1-9747687-9748100	unassigned
1-9792238-9792618	unassigned
1-9808190-9808466	unassigned
1-9850948-9851566	unassigned
1-9870529-9871181	unassigned
1-9904668-9905106	sub_clust_1
1-9925375-9925609	unassigned
1-9936752-9936970	unassigned
1-9955802-9956001	unassigned
1-10008501-10009230	unassigned
1-10097805-10098823	unassigned
1-10140398-10140790	sub_clust_3
1-10148790-10149232	unassigned
1-10151301-10151845	unassigned
1-10152676-10152964	unassigned
1-10203633-10204024	unassigned
1-10204074-10204367	unassigned
1-10226413-10226612	unassigned
1-10239407-10239703	unassigned
1-10277719-10278348	unassigned
1-10373768-10374295	unassigned
1-10390311-10391216	unassigned
1-10394138-10395002	unassigned
1-10422559-10423023	unassigned
1-10478498-10478862	unassigned
1-10515518-10516008	unassigned
1-10534646-10535412	sub_clust_5
1-10541025-10541265	unassigned
1-10572275-10572831	unassigned
1-10589377-10589842	unassigned
1-10591907-10592363	unassigned
1-10604458-10604657	unassigned
1-10642450-10642841	unassigned
1-10675424-10675955	unassigned
1-10767057-10767676	unassigned
1-10799327-10799552	unassigned
1-10812411-10813055	unassigned
1-10855907-10856504	unassigned
1-10866552-10866766	unassigned
1-10915132-10915341	unassigned
1-10925007-10925298	unassigned
1-10955336-10955675	unassigned
1-10984791-10985114	unassigned
1-11058270-11058510	sub_clust_0
1-11075174-11075865	unassigned
1-11133225-11134006	unassigned
1-11141729-11142047	unassigned
1-11163354-11163724	unassigned
1-11184357-11184901	sub_clust_1
1-11192185-11192705	sub_clust_2
1-11274585-11274784	unassigned
1-11278563-11278762	unassigned
1-11352594-11353035	unassigned
1-11372852-11373196	unassigned
1-11427885-11428808	unassigned
1-11448605-11449264	unassigned
1-11460851-11461231	unassigned
1-11486734-11487235	sub_clust_0
1-11495576-11496881	unassigned
1-11522018-11522435	unassigned
1-11527212-11527621	unassigned
1-11582148-11582586	unassigned
1-11593501-11594559	unassigned
1-11601548-11602722	unassigned
1-11608601-11609499	sub_clust_2
1-11618072-11618374	unassigned
1-11626997-11627198	unassigned
1-11664918-11665684	unassigned
1-11905804-11906530	unassigned
1-11915936-11916376	unassigned
1-11979493-11979698	unassigned
1-11988119-11988629	unassigned
1-11989220-11989629	unassigned
1-12019097-12019936	unassigned
1-12041650-12042021	unassigned
1-12093420-12094529	unassigned
1-12099865-12100101	unassigned
1-12104348-12105383	sub_clust_2
1-12124184-12124824	unassigned
1-12141380-12141815	unassigned
1-12144311-12145188	unassigned
1-12151250-12151627	unassigned
1-12168310-12168527	unassigned
1-12171573-12172347	unassigned
1-12175589-12175788	unassigned
1-12180116-12180343	unassigned
1-12234174-12235104	unassigned
1-12241934-12242227	unassigned
1-12244238-12245614	sub_clust_2
1-12262532-12263014	unassigned
1-12266362-12266781	sub_clust_0
1-12378826-12379655	unassigned
1-12387689-12388243	unassigned
1-12388902-12389173	unassigned
1-12408315-12408604	unassigned
1-12414454-12416136	unassigned
1-12419865-12420375	unassigned
1-12420468-12420778	unassigned
1-12428363-12429339	unassigned
1-12433378-12433731	unassigned
1-12434731-12435329	unassigned
1-12437408-12437897	unassigned
1-12440109-12440668	unassigned
1-12486337-12487121	unassigned
1-12488111-12488384	unassigned
1-12498670-12499257	unassigned
1-12500854-12501281	unassigned
1-12560069-12560346	unassigned
1-12592613-12593092	unassigned
1-12593622-12594546	unassigned
1-12614134-12614759	unassigned
1-12620647-12621218	unassigned
1-12628889-12629310	unassigned
1-12670828-12672072	unassigned
1-12679943-12680152	unassigned
1-12685706-12685905	unassigned
1-12712027-12712295	unassigned
1-12719529-12719989	unassigned
1-12742150-12742977	unassigned
1-12752553-12753204	unassigned
1-12762823-12766357	unassigned
1-12788300-12788506	sub_clust_0
1-12807000-12807834	unassigned
1-12808065-12808314	unassigned
1-12810491-12810930	unassigned
1-12826960-12827465	unassigned
1-12838352-12839460	unassigned
1-12843544-12844038	unassigned
1-12889404-12889656	unassigned
1-12910567-12911280	sub_clust_2
1-12937465-12937685	unassigned
1-12958002-12958608	unassigned
1-12961950-12963623	unassigned
1-12979316-12980224	sub_clust_2
1-13003844-13004105	unassigned
1-13004510-13005147	sub_clust_0
1-13011842-13012088	unassigned
1-13055543-13056008	unassigned
1-13092216-13093037	unassigned
1-13094426-13095023	unassigned
1-13097471-13097961	unassigned
1-13122745-13123256	unassigned
1-13140296-13141747	unassigned
1-13154649-13154848	unassigned
1-13165750-13166718	unassigned
1-13169310-13170515	unassigned
1-13175507-13176844	unassigned
1-13217311-13217542	unassigned
1-13223798-13224053	unassigned
1-13227452-13227697	unassigned
1-13272675-13274773	unassigned
1-13295957-13296689	unassigned
1-13302708-13304080	unassigned
1-13388314-13388613	unassigned
1-13429676-13429875	unassigned
1-13453527-13453782	unassigned
1-13466646-13466865	unassigned
1-13489672-13490075	unassigned
1-13500072-13500497	unassigned
1-13517942-13518141	unassigned
1-13527083-13527658	unassigned
1-13529369-13529662	unassigned
1-13531946-13532145	unassigned
1-13538033-13538685	unassigned
1-13539108-13539586	unassigned
1-13553425-13553788	unassigned
1-13568019-13568413	unassigned
1-13576396-13576902	unassigned
1-13616381-13616699	unassigned
1-13623256-13623455	unassigned
1-13677936-13678246	unassigned
1-13702033-13703345	unassigned
1-13708204-13708403	unassigned
1-13751711-13752116	unassigned
1-13759267-13760127	unassigned
1-13760841-13761150	unassigned
1-13900536-13900870	unassigned
1-13909196-13909719	unassigned
1-13924755-13925070	unassigned
1-13947788-13948221	unassigned
1-14012801-14013073	unassigned
1-14041969-14042195	unassigned
1-14051472-14052070	unassigned
1-14070330-14070584	unassigned
1-14078109-14078623	unassigned
1-14083532-14083731	unassigned
1-14094776-14094975	unassigned
1-14097527-14098130	unassigned
1-14126872-14127694	sub_clust_2
1-14131723-14131928	unassigned
1-14166535-14166882	unassigned
1-14190722-14191809	unassigned
1-14229668-14230518	unassigned
1-14239783-14240074	unassigned
1-14260543-14261860	sub_clust_3
1-14292895-14293116	unassigned
1-14300624-14301190	unassigned
1-14312457-14313125	unassigned
1-14330139-14330602	unassigned
1-14420655-14421063	unassigned
1-14600486-14600741	unassigned
1-14628933-14629142	unassigned
1-14652474-14652881	unassigned
1-14750898-14751380	unassigned
1-14766378-14766577	unassigned
1-14789104-14789358	unassigned
1-14792638-14793070	unassigned
1-14818616-14819566	unassigned
1-14828516-14829763	unassigned
1-14856340-14856539	unassigned
1-14856844-14857180	unassigned
1-14863415-14864095	unassigned
1-14866525-14867661	sub_clust_5
1-14883686-14884465	unassigned
1-14890042-14890575	unassigned
1-14903063-14904031	unassigned
1-14913667-14914341	unassigned
1-14916777-14917236	unassigned
1-14921403-14921602	unassigned
1-14925964-14926203	unassigned
1-14930586-14930957	unassigned
1-14934109-14934445	unassigned
1-14951539-14951738	unassigned
1-14955470-14956059	unassigned
1-14958450-14958655	unassigned
1-14970348-14970765	unassigned
1-14988221-14988521	unassigned
1-14997241-14997588	unassigned
1-15001851-15002260	unassigned
1-15020421-15021549	sub_clust_2
1-15034881-15035604	sub_clust_0
1-15046917-15047258	unassigned
1-15061965-15062523	unassigned
1-15079506-15080916	unassigned
1-15110988-15111597	unassigned
1-15141911-15142852	sub_clust_3
1-15145528-15145727	unassigned
1-15150237-15150629	unassigned
1-15152722-15152921	unassigned
1-15175155-15175606	unassigned
1-15181422-15181780	unassigned
1-15185083-15185461	unassigned
1-15235537-15236240	sub_clust_2
1-15242736-15242936	unassigned
1-15243340-15243813	unassigned
1-15343626-15344290	unassigned
1-15379488-15379689	sub_clust_2
1-15385523-15386285	unassigned
1-15412316-15413209	unassigned
1-15426496-15426882	unassigned
1-15488412-15489236	unassigned
1-15502212-15502614	unassigned
1-15510475-15510876	unassigned
1-15513968-15514273	unassigned
1-15589952-15590474	unassigned
1-15604882-15605081	unassigned
1-15632952-15634057	unassigned
1-15656339-15657080	unassigned
1-15663090-15664302	sub_clust_1
1-15672987-15673263	unassigned
1-15678533-15678882	unassigned
1-15691424-15691704	unassigned
1-15693966-15694305	unassigned
1-15698051-15698690	unassigned
1-15706220-15706579	unassigned
1-15708694-15709327	unassigned
1-15734138-15734487	unassigned
1-15768248-15768465	unassigned
1-15828369-15828581	unassigned
1-15830259-15830897	unassigned
1-15843446-15843868	unassigned
1-15865261-15865852	unassigned
1-15896017-15896324	sub_clust_0
1-15901887-15902087	unassigned
1-15909197-15909524	unassigned
1-15914656-15915336	sub_clust_2
1-15916520-15917405	sub_clust_5
1-15931433-15932050	unassigned
1-15961865-15963243	unassigned
1-15966336-15966563	unassigned
1-15997513-15997865	unassigned
1-16004423-16004831	unassigned
1-16047817-16048141	unassigned
1-16055674-16056047	unassigned
1-16059617-16060129	sub_clust_0
1-16088749-16088948	sub_clust_0
1-16094746-16095017	unassigned
1-16131495-16132026	unassigned
1-16143525-16143757	unassigned
1-16149618-16149984	unassigned
1-16154567-16154982	unassigned
1-16179848-16180463	unassigned
1-16231235-16231892	sub_clust_0
1-16242515-16242714	unassigned
1-16256020-16257277	unassigned
1-16279338-16279886	unassigned
1-16281681-16281885	unassigned
1-16281997-16282411	unassigned
1-16352554-16353096	unassigned
1-16434033-16434753	unassigned
1-16437647-16439575	unassigned
1-16444955-16445814	unassigned
1-16517677-16518206	unassigned
1-16526772-16527724	sub_clust_2
1-16582077-16583156	unassigned
1-16585598-16585907	sub_clust_2
1-16635575-16635854	unassigned
1-16637898-16638891	unassigned
1-16653408-16653610	unassigned
1-16658925-16659124	unassigned
1-16748248-16749002	sub_clust_2
1-16764406-16764948	unassigned
1-16788941-16789279	unassigned
1-16798741-16799108	unassigned
1-16812405-16812604	unassigned
1-16818584-16818896	unassigned
1-16842905-16843578	sub_clust_2
1-16847324-16848502	sub_clust_2
1-16884382-16884879	unassigned
1-16900829-16901187	unassigned
1-16904613-16904908	unassigned
1-16905065-16905620	unassigned
1-16915949-16916344	unassigned
1-16917522-16917822	unassigned
1-16917840-16918039	unassigned
1-16963879-16964596	sub_cluster_4
1-16967549-16967951	unassigned
1-17047177-17047557	unassigned
1-17094219-17095524	unassigned
1-17108440-17109264	unassigned
1-17142975-17143174	unassigned
1-17181099-17181465	unassigned
1-17204084-17204604	sub_clust_0
1-17204755-17205165	sub_cluster_4
1-17209525-17210771	unassigned
1-17211015-17211778	unassigned
1-17246697-17247307	unassigned
1-17271647-17271860	unassigned
1-17483174-17483544	sub_clust_1
1-17497458-17498481	sub_clust_2
1-17533520-17533742	unassigned
1-17563909-17564700	sub_clust_2
1-17640218-17640894	unassigned
1-17649662-17650583	unassigned
1-17719579-17720452	unassigned
1-17736513-17736813	unassigned
1-17756944-17757913	sub_clust_2
1-17770390-17770931	unassigned
1-17810160-17810732	unassigned
1-17831517-17832329	sub_clust_2
1-17833218-17833447	unassigned
1-17853473-17854283	sub_cluster_4
1-17865567-17866004	unassigned
1-17874897-17875394	sub_clust_3
1-17885225-17885501	unassigned
1-17896684-17897228	unassigned
1-17900028-17900419	unassigned
1-17962066-17962307	unassigned
1-18005713-18006399	unassigned
1-18008725-18009567	unassigned
1-18016835-18017500	unassigned
1-18021249-18021652	unassigned
1-18066150-18066894	unassigned
1-18083003-18083391	unassigned
1-18086971-18087410	unassigned
1-18107259-18107639	unassigned
1-18125483-18125758	unassigned
1-18140298-18140704	unassigned
1-18155854-18156053	unassigned
1-18163198-18163623	unassigned
1-18188108-18188458	unassigned
1-18193992-18194324	unassigned
1-18195066-18195512	unassigned
1-18197556-18197847	unassigned
1-18199771-18200565	unassigned
1-18217046-18217382	unassigned
1-18223028-18223229	unassigned
1-18224635-18224954	unassigned
1-18227930-18228456	unassigned
1-18249729-18249953	unassigned
1-18251806-18252739	unassigned
1-18272312-18272942	unassigned
1-18293143-18293495	unassigned
1-18295016-18295422	unassigned
1-18314702-18315203	sub_clust_0
1-18320389-18320735	unassigned
1-18321469-18321772	unassigned
1-18344330-18344699	unassigned
1-18360468-18360778	unassigned
1-18362149-18362375	unassigned
1-18377021-18377239	unassigned
1-18392556-18392849	sub_clust_2
1-18411523-18411973	unassigned
1-18416723-18416984	unassigned
1-18417383-18417622	unassigned
1-18424412-18425476	unassigned
1-18432747-18433389	unassigned
1-18449503-18449860	unassigned
1-18464991-18465654	unassigned
1-18575290-18575519	unassigned
1-18621251-18621525	unassigned
1-18642163-18642848	unassigned
1-18667556-18669276	unassigned
1-18688449-18688944	unassigned
1-18694945-18695585	unassigned
1-18726340-18726657	unassigned
1-18904050-18904754	sub_clust_3
1-18960997-18961294	sub_clust_3
1-18982706-18983973	unassigned
1-19055210-19055743	unassigned
1-19067207-19068207	unassigned
1-19134739-19135112	unassigned
1-19136872-19137429	sub_clust_1
1-19147287-19147719	unassigned
1-19156623-19157236	unassigned
1-19163297-19163535	unassigned
1-19225022-19225221	unassigned
1-19225426-19226264	unassigned
1-19228653-19229218	unassigned
1-19233529-19234088	unassigned
1-19264701-19264920	unassigned
1-19326792-19327211	unassigned
1-19344995-19345800	sub_clust_3
1-19390216-19391359	unassigned
1-19416426-19416664	unassigned
1-19418268-19419016	unassigned
1-19497007-19497587	unassigned
1-19570689-19571431	sub_clust_3
1-19641560-19642159	unassigned
1-19704010-19704759	unassigned
1-19718421-19719372	unassigned
1-19725008-19725436	unassigned
1-19745116-19745506	unassigned
1-19747484-19748301	unassigned
1-19761519-19762371	sub_clust_2
1-19795714-19796486	unassigned
1-19837610-19837837	unassigned
1-19857234-19857482	unassigned
1-19859121-19860120	unassigned
1-19862797-19863006	unassigned
1-19881861-19882110	unassigned
1-19888327-19888656	unassigned
1-19968868-19969508	sub_clust_3
1-19984326-19984901	unassigned
1-19996719-19997561	sub_clust_2
1-20023053-20023647	unassigned
1-20026754-20027155	sub_clust_5
1-20027220-20027925	unassigned
1-20035192-20035611	unassigned
1-20087647-20088233	sub_clust_2
1-20116910-20117795	unassigned
1-20198856-20199273	sub_cluster_4
1-20263369-20264250	unassigned
1-20269120-20269525	unassigned
1-20278198-20279672	unassigned
1-20336419-20336904	unassigned
1-20337794-20338028	unassigned
1-20348877-20349472	unassigned
1-20375299-20375645	unassigned
1-20396937-20398064	unassigned
1-20408892-20409466	unassigned
1-20428168-20428477	unassigned
1-20454720-20455463	unassigned
1-20482499-20483561	unassigned
1-20499620-20500463	sub_clust_1
1-20519913-20520556	unassigned
1-20559442-20560169	unassigned
1-20593371-20594187	unassigned
1-20605213-20605554	unassigned
1-20656364-20656752	unassigned
1-20682601-20682844	unassigned
1-20712932-20713392	unassigned
1-20726832-20727118	unassigned
1-20799905-20800735	unassigned
1-20821407-20822040	unassigned
1-20831116-20831331	sub_clust_0
1-20839528-20840417	unassigned
1-20883171-20884093	sub_clust_2
1-20899776-20900383	unassigned
1-20907844-20908043	unassigned
1-20939003-20939284	unassigned
1-20955805-20956461	unassigned
1-21051385-21051598	unassigned
1-21237989-21238415	unassigned
1-21259124-21259518	unassigned
1-21274637-21274943	sub_clust_0
1-21292177-21292376	unassigned
1-21334270-21334722	unassigned
1-21350049-21350323	unassigned
1-21390665-21391397	unassigned
1-21422970-21423832	unassigned
1-21435759-21435982	unassigned
1-21455314-21455730	unassigned
1-21462281-21462530	unassigned
1-21482890-21484151	unassigned
